"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"67","67","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,1.17195831392474,0.940354831333264,-2.52048822097035,1.05489228291577,NA,NA,NA,NA,-3.99491816510674,2.43837902979154,NA,NA,NA,NA,NA,NA,3.25287577404125,1.51889923290117,0.138063803148947,1.46125455248088,NA,NA,NA,NA,-2.06708347311258,2.52171160167979,NA,NA,NA,NA,-0.100734093620731,0.214562282521927,-1.87374890719157,0.327203160526609,NA,NA,NA,NA,0.14594396377928,0.24862613961955,NA,NA,NA,NA,NA,NA,-0.435590813916644,0.586660542838266,0,1183.84627486089,163.536148265303,10,60,347.072296530606,3.67581792971151,0.0149904057240566,NA,0.865482994214102
"30","30","~Elevation ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-1.50028490539748,0.49119283771202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8356039346231,1.10613706609392,0.809916082506119,0.927705493237748,NA,NA,NA,NA,-0.132272917924147,1.63441862817255,NA,NA,NA,NA,0.0816683836846996,0.200837152795569,-1.71783108742192,0.320759087943916,NA,NA,NA,NA,0.0378094280775945,0.257770110588391,NA,NA,NA,NA,4.2911445365447,3.21756694266059,-4.38880015231767,3.04596037395244,0,2050.26472275624,164.685080530149,9,60,347.370161060298,3.9736824594039,0.0129161454391203,NA,0.878399139653222
"72","72","~Elevation^2 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-1.50028490539748,0.49119283771202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8356039346231,1.10613706609392,0.809916082506119,0.927705493237748,NA,NA,NA,NA,-0.132272917924147,1.63441862817255,NA,NA,NA,NA,0.0816683836846996,0.200837152795569,-1.71783108742192,0.320759087943916,NA,NA,NA,NA,0.0378094280775945,0.257770110588391,NA,NA,NA,NA,4.2911445365447,3.21756694266059,-4.38880015231767,3.04596037395244,0,2050.26472275624,164.685080530149,9,60,347.370161060298,3.9736824594039,0.0129161454391203,NA,0.891315285092342
"37","37","~Elevation ~ Tmax + Biotic ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,-1.87139406609489,1.10962497077504,-2.97534790159053,1.25400857540995,NA,NA,3.37501062954362,2.34155328552847,NA,NA,NA,NA,NA,NA,NA,NA,0.139373338838036,0.867989625981687,-1.12410595180519,1.02089918131028,NA,NA,4.54299705569793,2.54544477594034,NA,NA,NA,NA,NA,NA,-0.300210372965927,0.204419656164592,-2.1715816026704,0.307436298373264,NA,NA,-0.0533944393269076,0.232984211414019,NA,NA,NA,NA,NA,NA,2.36814788999022,2.02321691911189,-2.56304835907632,1.98865484577739,0,702.250247130571,163.111018473785,11,60,348.22203694757,4.82555834667579,0.0084362691714442,NA,0.899751554263786
"27","27","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-1.41989369285077,0.506813209955157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87020180058838,1.14543324605856,0.873842982239948,0.910734584242238,NA,NA,NA,NA,0.0139682020862025,1.43159335535146,NA,NA,NA,NA,0.0485006637285912,0.201721991267607,-1.75299600207494,0.319760131753482,NA,NA,NA,NA,0.0599667666998449,0.249767272293009,NA,NA,NA,NA,NA,NA,-0.171596588809898,0.659771550396152,0,241.227069488506,166.177480533359,8,60,348.354961066718,4.95848246582341,0.00789380370049762,NA,0.907645357964284
"69","69","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-1.41989369285077,0.506813209955157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87020180058838,1.14543324605856,0.873842982239948,0.910734584242238,NA,NA,NA,NA,0.0139682020862025,1.43159335535146,NA,NA,NA,NA,0.0485006637285912,0.201721991267607,-1.75299600207494,0.319760131753482,NA,NA,NA,NA,0.0599667666998449,0.249767272293009,NA,NA,NA,NA,NA,NA,-0.171596588809898,0.659771550396152,0,241.227069488506,166.177480533359,8,60,348.354961066718,4.95848246582341,0.00789380370049762,NA,0.915539161664782
"35","35","~1 ~ Tmax + Biotic ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,-1.59415149679396,1.13374217204938,-2.8495104477237,1.28906112210201,NA,NA,1.81331015685467,1.88626148132477,NA,NA,NA,NA,NA,NA,NA,NA,0.776708669199207,0.954382549396094,-0.92922000528378,0.892796703619575,NA,NA,0.971429573270943,1.24991565865072,NA,NA,NA,NA,NA,NA,-0.19995991018061,0.225151980297897,-2.16486243836811,0.376490769983041,NA,NA,-0.267842959566683,0.290268201505933,NA,NA,NA,NA,NA,NA,NA,NA,-0.247663749838693,0.55906709196185,0,401.306836814692,164.22823430179,10,60,348.45646860358,5.05999000268611,0.0075031605735111,NA,0.923042322238293
"77","77","~1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,-1.59415149679396,1.13374217204938,-2.8495104477237,1.28906112210201,NA,NA,1.81331015685467,1.88626148132477,NA,NA,NA,NA,NA,NA,NA,NA,0.776708669199207,0.954382549396094,-0.92922000528378,0.892796703619575,NA,NA,0.971429573270943,1.24991565865072,NA,NA,NA,NA,NA,NA,-0.19995991018061,0.225151980297897,-2.16486243836811,0.376490769983041,NA,NA,-0.267842959566683,0.290268201505933,NA,NA,NA,NA,NA,NA,NA,NA,-0.247663749838693,0.55906709196185,0,401.306836814692,164.22823430179,10,60,348.45646860358,5.05999000268611,0.0075031605735111,NA,0.930545482811804
"79","79","~1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,-1.59415149679396,1.13374217204938,-2.8495104477237,1.28906112210201,NA,NA,1.81331015685467,1.88626148132477,NA,NA,NA,NA,NA,NA,NA,NA,0.776708669199207,0.954382549396094,-0.92922000528378,0.892796703619575,NA,NA,0.971429573270943,1.24991565865072,NA,NA,NA,NA,NA,NA,-0.19995991018061,0.225151980297897,-2.16486243836811,0.376490769983041,NA,NA,-0.267842959566683,0.290268201505933,NA,NA,NA,NA,NA,NA,NA,NA,-0.247663749838693,0.55906709196185,0,401.306836814692,164.22823430179,10,60,348.45646860358,5.05999000268611,0.0075031605735111,NA,0.938048643385315
"43","43","~1 ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",NA,NA,-1.54539596324909,0.770824874205618,-1.95171401915251,0.802736008676171,NA,NA,NA,NA,NA,NA,NA,NA,0.134559715091091,0.513792213513054,NA,NA,NA,NA,-0.143543113131379,0.97650560753424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.165591799480035,0.209891703858775,-1.85396419739626,0.386010131909235,NA,NA,NA,NA,NA,NA,NA,NA,-0.112454420317238,0.210465109915241,NA,NA,-0.359501087283811,0.644940501257551,0,112.899542624914,166.740062001438,8,60,349.480124002876,6.08364540198124,0.00449738736190733,NA,0.942546030747222
