"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"58","58","~Elevation^2 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,NA,NA,-1.64377052330418,0.371611311737717,NA,NA,NA,NA,NA,NA,NA,NA,0.381811594748429,0.351674744208906,NA,NA,NA,NA,0.273402366118334,0.677433211816174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42878211976068,0.296463689402181,NA,NA,NA,NA,NA,NA,NA,NA,-0.0351692751783135,0.255321254088792,6.68252225210159,4.33982378883968,-8.56745384080957,4.86107629276406,0,880.915043035822,127.582898068378,7,60,269.165796136757,4.67978676964748,0.0118383945364314,NA,0.769810604281335
"27","27","~Elevation ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,-1.32086170732837,0.835466270956889,-2.31256705634987,0.487866920963754,NA,NA,NA,NA,-0.131349645112749,0.558163535975499,NA,NA,NA,NA,NA,NA,NA,NA,0.100804363431857,0.669689311561291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02374342762496,0.53070378369691,-1.02404943115154,0.364124721549537,NA,NA,NA,NA,-0.508471371227314,0.419226415494972,NA,NA,NA,NA,7.72241586638358,5.27757828553628,-9.64087249099149,5.80236969517316,0,2835.33091534602,125.600756356144,9,60,269.201512712288,4.71550334517889,0.0116288576340021,NA,0.781439461915337
"64","64","~Elevation^2 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,-1.32086170732837,0.835466270956889,-2.31256705634987,0.487866920963754,NA,NA,NA,NA,-0.131349645112749,0.558163535975499,NA,NA,NA,NA,NA,NA,NA,NA,0.100804363431857,0.669689311561291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02374342762496,0.53070378369691,-1.02404943115154,0.364124721549537,NA,NA,NA,NA,-0.508471371227314,0.419226415494972,NA,NA,NA,NA,7.72241586638358,5.27757828553628,-9.64087249099149,5.80236969517316,0,2835.33091534602,125.600756356144,9,60,269.201512712288,4.71550334517889,0.0116288576340021,NA,0.793068319549339
"26","26","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-1.81791826867545,0.357099913467782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59840620588265,5.83653044724381,6.27869571497411,4.51125232568332,NA,NA,-0.463454070165339,2.00173191048584,NA,NA,NA,NA,NA,NA,1.04368466494385,0.493504431256822,-1.0293166870641,0.374417068318938,NA,NA,NA,NA,-0.589715999444171,0.391091254559901,NA,NA,NA,NA,NA,NA,-1.24639239868797,0.608309995399402,0,2008.66986330869,126.629589768856,8,60,269.259179537713,4.77317017060335,0.011298345772623,NA,0.804366665321962
"63","63","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-1.81791826867545,0.357099913467782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59840620588265,5.83653044724381,6.27869571497411,4.51125232568332,NA,NA,-0.463454070165339,2.00173191048584,NA,NA,NA,NA,NA,NA,1.04368466494385,0.493504431256822,-1.0293166870641,0.374417068318938,NA,NA,NA,NA,-0.589715999444171,0.391091254559901,NA,NA,NA,NA,NA,NA,-1.24639239868797,0.608309995399402,0,2008.66986330869,126.629589768856,8,60,269.259179537713,4.77317017060335,0.011298345772623,NA,0.815665011094585
"30","30","~1 ~ Tmax + Biotic ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,-0.872461501340265,0.708566776621701,-2.02934395104317,0.472908136870438,NA,NA,0.356898250129891,0.332763513454485,NA,NA,NA,NA,NA,NA,NA,NA,7.46964221856585,5.697203418707,5.52268495642072,4.23410319678016,-3.28262287353158,2.4257545127299,NA,NA,NA,NA,NA,NA,NA,NA,0.723741402374797,0.373247190920687,-0.907607876250312,0.369472206744055,NA,NA,0.311953000561501,0.404082793158845,NA,NA,NA,NA,NA,NA,NA,NA,-1.3248090828995,0.604197735280521,0,1967.88870835853,124.73678395152,10,60,269.47356790304,4.9875585359311,0.010149882616406,NA,0.825814893710991
"67","67","~1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,-0.872461501340265,0.708566776621701,-2.02934395104317,0.472908136870438,NA,NA,0.356898250129891,0.332763513454485,NA,NA,NA,NA,NA,NA,NA,NA,7.46964221856585,5.697203418707,5.52268495642072,4.23410319678016,-3.28262287353158,2.4257545127299,NA,NA,NA,NA,NA,NA,NA,NA,0.723741402374797,0.373247190920687,-0.907607876250312,0.369472206744055,NA,NA,0.311953000561501,0.404082793158845,NA,NA,NA,NA,NA,NA,NA,NA,-1.3248090828995,0.604197735280521,0,1967.88870835853,124.73678395152,10,60,269.47356790304,4.9875585359311,0.010149882616406,NA,0.835964776327397
"70","70","~1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,-0.872461501340265,0.708566776621701,-2.02934395104317,0.472908136870438,NA,NA,0.356898250129891,0.332763513454485,NA,NA,NA,NA,NA,NA,NA,NA,7.46964221856585,5.697203418707,5.52268495642072,4.23410319678016,-3.28262287353158,2.4257545127299,NA,NA,NA,NA,NA,NA,NA,NA,0.723741402374797,0.373247190920687,-0.907607876250312,0.369472206744055,NA,NA,0.311953000561501,0.404082793158845,NA,NA,NA,NA,NA,NA,NA,NA,-1.3248090828995,0.604197735280521,0,1967.88870835853,124.73678395152,10,60,269.47356790304,4.9875585359311,0.010149882616406,NA,0.846114658943803
"6","6","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,-1.82018765611708,0.429720178075976,NA,NA,NA,NA,-0.390838153073427,0.429761365245678,NA,NA,NA,NA,NA,NA,NA,NA,0.151084532449115,0.698189617662825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46327877415408,0.338602594719706,NA,NA,NA,NA,-0.0305018127134883,0.304590864574918,NA,NA,NA,NA,6.63364719211086,4.29227731509851,-8.51075133979207,4.79955173053727,0,1160.99745892698,127.777917117747,7,60,269.555834235494,5.06982486838518,0.00974085576139508,NA,0.855855514705198
"46","46","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,-1.82018765611708,0.429720178075976,NA,NA,NA,NA,-0.390838153073427,0.429761365245678,NA,NA,NA,NA,NA,NA,NA,NA,0.151084532449115,0.698189617662825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46327877415408,0.338602594719706,NA,NA,NA,NA,-0.0305018127134883,0.304590864574918,NA,NA,NA,NA,6.63364719211086,4.29227731509851,-8.51075133979207,4.79955173053727,0,1160.99745892698,127.777917117747,7,60,269.555834235494,5.06982486838518,0.00974085576139508,NA,0.865596370466593
