"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"7","7","~Elevation ~ 1 ~ Tmin ~ Tmin",NA,NA,NA,NA,-1.26215618820919,0.331268506118446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.270234508312554,0.3895084014364,-0.78051244431239,0.623543104342212,NA,NA,NA,NA,NA,NA,NA,NA,-0.592881759688246,0.167888926670763,NA,NA,-0.144609873670357,0.237987338539172,NA,NA,NA,NA,-4.8672853546185,3.88145321790744,-1.36991481909603,2.01638472369817,0,2073.35161220189,383.796367633135,7,60,781.592735266269,5.81988792041682,0.00778253484963315,NA,0.791832270934008
"47","47","~Elevation^2 ~ 1 ~ Tmin^2 ~ Tmin^2",NA,NA,NA,NA,-1.26215618820919,0.331268506118446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.270234508312554,0.3895084014364,-0.78051244431239,0.623543104342212,NA,NA,NA,NA,NA,NA,NA,NA,-0.592881759688246,0.167888926670763,NA,NA,-0.144609873670357,0.237987338539172,NA,NA,NA,NA,-4.8672853546185,3.88145321790744,-1.36991481909603,2.01638472369817,0,2073.35161220189,383.796367633135,7,60,781.592735266269,5.81988792041682,0.00778253484963315,NA,0.799614805783641
"34","34","~1 ~ 1 ~ Tvar * Biotic ~ Tvar * Biotic",NA,NA,NA,NA,-1.16740745489648,0.323090291597593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.317221100337365,0.441501173165672,-0.467856015070395,0.294031850384485,NA,NA,-1.11151128727365,0.567951424884255,-0.359763847816064,0.401656308029984,NA,NA,-0.289409956815747,0.178477512528084,-0.727973937286638,0.130002765566616,NA,NA,NA,NA,0.112535857775657,0.171359531006403,0.0234263539107891,0.111334565348658,NA,NA,2.24512378382825,1.1935365389483,0,179.754681765262,380.797866029712,10,60,781.595732059425,5.82288471357219,0.00777088225833038,NA,0.807385688041971
"71","71","~1 ~ 1 ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic",NA,NA,NA,NA,-1.16740745489648,0.323090291597593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.317221100337365,0.441501173165672,-0.467856015070395,0.294031850384485,NA,NA,-1.11151128727365,0.567951424884255,-0.359763847816064,0.401656308029984,NA,NA,-0.289409956815747,0.178477512528084,-0.727973937286638,0.130002765566616,NA,NA,NA,NA,0.112535857775657,0.171359531006403,0.0234263539107891,0.111334565348658,NA,NA,2.24512378382825,1.1935365389483,0,179.754681765262,380.797866029712,10,60,781.595732059425,5.82288471357219,0.00777088225833038,NA,0.815156570300302
"18","18","~Elevation ~ Biotic ~ Biotic ~ Biotic",NA,NA,-0.348426954783427,0.493360487596425,-1.28142671312112,0.34410561276168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105239941659611,0.391210211668539,-0.66101424036755,0.278326119713995,NA,NA,NA,NA,NA,NA,NA,NA,-0.277265987316777,0.1631169375852,-0.720232677197877,0.123130642760853,NA,NA,NA,NA,NA,NA,NA,NA,-4.41115830587244,4.08179419547297,-0.919301528522292,2.27352908548395,0,1898.41800651358,382.937718697158,8,60,781.875437394315,6.1025900484625,0.00675667589258592,NA,0.821913246192888
"55","55","~Elevation^2 ~ Biotic ~ Biotic ~ Biotic",NA,NA,-0.348426954783427,0.493360487596425,-1.28142671312112,0.34410561276168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105239941659611,0.391210211668539,-0.66101424036755,0.278326119713995,NA,NA,NA,NA,NA,NA,NA,NA,-0.277265987316777,0.1631169375852,-0.720232677197877,0.123130642760853,NA,NA,NA,NA,NA,NA,NA,NA,-4.41115830587244,4.08179419547297,-0.919301528522292,2.27352908548395,0,1898.41800651358,382.937718697158,8,60,781.875437394315,6.1025900484625,0.00675667589258592,NA,0.828669922085473
"27","27","~1 ~ Biotic * Tmin ~ 1 ~ Biotic * Tmin",0.641918852004388,1.4831915021874,-0.762970288256299,1.17858402115657,-1.59716312398943,0.737333688236035,NA,NA,0.552110798415457,0.94272586502323,NA,NA,NA,NA,NA,NA,NA,NA,-0.692190170776442,0.280841879937119,NA,NA,NA,NA,NA,NA,-0.640679665795428,0.331508427946035,-0.022321468743663,0.213018732597033,-0.599851753399607,0.16657951505561,NA,NA,-0.351046259623101,0.252075378749734,NA,NA,NA,NA,NA,NA,2.16962106284369,1.14563950266805,0,487.806480969129,381.001724827023,10,60,782.003449654047,6.23060230819419,0.00633775691773561,NA,0.835007679003209
"64","64","~1 ~ Biotic * Tmin^2 ~ 1 ~ Biotic * Tmin^2",0.641918852004388,1.4831915021874,-0.762970288256299,1.17858402115657,-1.59716312398943,0.737333688236035,NA,NA,0.552110798415457,0.94272586502323,NA,NA,NA,NA,NA,NA,NA,NA,-0.692190170776442,0.280841879937119,NA,NA,NA,NA,NA,NA,-0.640679665795428,0.331508427946035,-0.022321468743663,0.213018732597033,-0.599851753399607,0.16657951505561,NA,NA,-0.351046259623101,0.252075378749734,NA,NA,NA,NA,NA,NA,2.16962106284369,1.14563950266805,0,487.806480969129,381.001724827023,10,60,782.003449654047,6.23060230819419,0.00633775691773561,NA,0.841345435920945
"21","21","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,-0.336129182687352,0.507037082377804,-1.51252032027572,0.605475437317166,NA,NA,0.394350021839111,0.76089354253449,NA,NA,NA,NA,NA,NA,NA,NA,-0.646085727014052,0.267642702874769,NA,NA,NA,NA,NA,NA,NA,NA,-0.300364706533399,0.157186107100163,-0.64985737648751,0.164772054536826,NA,NA,-0.165575992177071,0.23853913077084,NA,NA,NA,NA,NA,NA,2.41500911951362,1.39011418474056,0,227.557875603584,383.07851141083,8,60,782.157022821661,6.38417547580821,0.00586931729845525,NA,0.8472147532194
"58","58","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,-0.336129182687352,0.507037082377804,-1.51252032027572,0.605475437317166,NA,NA,0.394350021839111,0.76089354253449,NA,NA,NA,NA,NA,NA,NA,NA,-0.646085727014052,0.267642702874769,NA,NA,NA,NA,NA,NA,NA,NA,-0.300364706533399,0.157186107100163,-0.64985737648751,0.164772054536826,NA,NA,-0.165575992177071,0.23853913077084,NA,NA,NA,NA,NA,NA,2.41500911951362,1.39011418474056,0,227.557875603584,383.07851141083,8,60,782.157022821661,6.38417547580821,0.00586931729845525,NA,0.853084070517855
