"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"54","54","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,NA,NA,-1.88821416795711,0.636667605744858,NA,NA,NA,NA,0.513590028711669,0.518141730888659,NA,NA,NA,NA,-0.851470929121222,0.479366348314917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47455441854497,0.184553141723962,NA,NA,NA,NA,NA,NA,NA,NA,-0.160416143568099,0.19048176813536,NA,NA,0.908911771783056,0.766278767717353,0,29.0763908858593,233.015866879356,6,61,478.031733758712,3.66257155774855,0.0166391640708902,NA,0.757627777021522
"6","6","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,-1.98654729465714,0.767235226755255,NA,NA,-0.627327855855553,0.753376834258716,NA,NA,NA,NA,NA,NA,-0.910748807722187,0.457427269128217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42802708665551,0.175846439774491,NA,NA,NA,NA,-0.409802151046455,0.215273350154697,NA,NA,NA,NA,-1.1971216659355,1.00321691026981,0.415919363658518,0.667227341713324,0,55.2682242037547,232.075233596229,7,61,478.150467192459,3.78130499149523,0.0156801013905194,NA,0.773307878412041
"45","45","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,-1.98654729465714,0.767235226755255,NA,NA,-0.627327855855553,0.753376834258716,NA,NA,NA,NA,NA,NA,-0.910748807722187,0.457427269128217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42802708665551,0.175846439774491,NA,NA,NA,NA,-0.409802151046455,0.215273350154697,NA,NA,NA,NA,-1.1971216659355,1.00321691026981,0.415919363658518,0.667227341713324,0,55.2682242037547,232.075233596229,7,61,478.150467192459,3.78130499149523,0.0156801013905194,NA,0.788987979802561
"9","9","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,NA,NA,-1.89608783190892,0.622361562425673,0.483446902642609,0.487549741346356,NA,NA,NA,NA,NA,NA,NA,NA,-0.838572027276659,0.484094331730872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.429596309917,0.179349577385305,NA,NA,-0.0481191823184512,0.16176320345294,NA,NA,NA,NA,NA,NA,NA,NA,0.727766412781014,0.652944692978625,0,24.7150608258492,233.368421828244,6,61,478.736843656488,4.36768145552441,0.0116955011307589,NA,0.80068348093332
"48","48","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,NA,NA,-1.89608783190892,0.622361562425673,0.483446902642609,0.487549741346356,NA,NA,NA,NA,NA,NA,NA,NA,-0.838572027276659,0.484094331730872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.429596309917,0.179349577385305,NA,NA,-0.0481191823184512,0.16176320345294,NA,NA,NA,NA,NA,NA,NA,NA,0.727766412781014,0.652944692978625,0,24.7150608258492,233.368421828244,6,61,478.736843656488,4.36768145552441,0.0116955011307589,NA,0.812378982064079
"22","22","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,NA,NA,-2.00475827795855,0.767764356542869,NA,NA,NA,NA,NA,NA,NA,NA,-0.383683456228358,0.507771049183909,-1.11693932328108,0.604439235430049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.179395841264741,0.183215956989836,-1.50627727980132,0.195646183258865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849325767830224,0.680124699819642,0,42.8479398161202,233.433636474377,6,61,478.867272948754,4.49811074779041,0.0109571214213543,NA,0.823336103485433
"16","16","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,NA,NA,-1.93189517651948,0.693731460465271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.970585544299144,0.513491530135231,NA,NA,NA,NA,NA,NA,NA,NA,-0.0473006520725273,0.462556483017812,NA,NA,NA,NA,-1.4859736620993,0.18126392549555,NA,NA,NA,NA,NA,NA,NA,NA,-0.184947785748123,0.181913963422002,NA,NA,0.902891502602068,0.717584044017974,0,28.5420528337484,233.447876996859,6,61,478.895753993717,4.526591792754,0.0108021920432642,NA,0.834138295528697
"55","55","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,-1.93189517651948,0.693731460465271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.970585544299144,0.513491530135231,NA,NA,NA,NA,NA,NA,NA,NA,-0.0473006520725273,0.462556483017812,NA,NA,NA,NA,-1.4859736620993,0.18126392549555,NA,NA,NA,NA,NA,NA,NA,NA,-0.184947785748123,0.181913963422002,NA,NA,0.902891502602068,0.717584044017974,0,28.5420528337484,233.447876996859,6,61,478.895753993717,4.526591792754,0.0108021920432642,NA,0.844940487571961
"31","31","~1 ~ Tmax + Biotic ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,8.15599685606675,4.97530650232763,-6.53830282994812,3.56751147225082,2.26943581918817,2.05050868767881,NA,NA,NA,NA,NA,NA,0.618623205159249,0.453161716954415,-0.674984671215034,0.409412480638122,NA,NA,0.494667951629607,0.445355692343371,NA,NA,NA,NA,NA,NA,NA,NA,-0.0936783421977467,0.146635770091254,-1.55636822271399,0.150417586535977,NA,NA,-0.0599084676381091,0.156337137094314,NA,NA,NA,NA,NA,NA,NA,NA,1.83949308867469,1.19027200301834,0,2218.75059480838,229.730622404853,10,61,479.461244809707,5.09208260874323,0.00814173801442931,NA,0.853082225586391
"67","67","~1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,8.15599685606675,4.97530650232763,-6.53830282994812,3.56751147225082,2.26943581918817,2.05050868767881,NA,NA,NA,NA,NA,NA,0.618623205159249,0.453161716954415,-0.674984671215034,0.409412480638122,NA,NA,0.494667951629607,0.445355692343371,NA,NA,NA,NA,NA,NA,NA,NA,-0.0936783421977467,0.146635770091254,-1.55636822271399,0.150417586535977,NA,NA,-0.0599084676381091,0.156337137094314,NA,NA,NA,NA,NA,NA,NA,NA,1.83949308867469,1.19027200301834,0,2218.75059480838,229.730622404853,10,61,479.461244809707,5.09208260874323,0.00814173801442931,NA,0.86122396360082
