"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"62","62","~Elevation^2 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",1.87323230826886,2.20283013744845,1.56162703367783,1.91498116650736,-0.752271308801863,1.29237352076195,NA,NA,NA,NA,NA,NA,NA,NA,-1.2625555104947,0.557960867274896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0624566125539099,0.137598728308499,-1.07752798936191,0.159069239467641,NA,NA,NA,NA,-0.466572563684071,0.166843092522012,NA,NA,NA,NA,0.162156225389547,0.524103151208397,0.0963205193754367,0.571960355250131,0,486.991977369444,228.949803864052,9,60,475.899607728105,4.93505146974064,0.00977217253758789,NA,0.87932189004548
"27","27","~Elevation ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,0.671153734459321,0.952380097971467,NA,NA,NA,NA,NA,NA,NA,NA,-0.140601857224669,0.622996717084705,-1.25717354681005,0.586005669052425,NA,NA,NA,NA,-0.469510951593452,0.727615009666072,NA,NA,NA,NA,NA,NA,0.099718610253888,0.149175255944247,-1.07219756563692,0.165511014308254,NA,NA,NA,NA,-0.443585956531701,0.169187670966877,NA,NA,NA,NA,0.210264785532351,0.511543616504462,0.0207736961577149,0.541759186732336,0,67.9866950011616,229.033819413211,9,60,476.067638826422,5.10308256805791,0.00898470116538285,NA,0.888306591210863
"63","63","~Elevation^2 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,0.671153734459321,0.952380097971467,NA,NA,NA,NA,NA,NA,NA,NA,-0.140601857224669,0.622996717084705,-1.25717354681005,0.586005669052425,NA,NA,NA,NA,-0.469510951593452,0.727615009666072,NA,NA,NA,NA,NA,NA,0.099718610253888,0.149175255944247,-1.07219756563692,0.165511014308254,NA,NA,NA,NA,-0.443585956531701,0.169187670966877,NA,NA,NA,NA,0.210264785532351,0.511543616504462,0.0207736961577149,0.541759186732336,0,67.9866950011616,229.033819413211,9,60,476.067638826422,5.10308256805791,0.00898470116538285,NA,0.897291292376245
"12","12","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,0.233367950184716,0.782493144463791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29243505312342,0.63582165934762,NA,NA,NA,NA,NA,NA,NA,NA,0.440260834286568,0.767398426695061,NA,NA,NA,NA,-1.08409278875251,0.170259814320357,NA,NA,NA,NA,NA,NA,NA,NA,0.237670235857396,0.203955162648512,NA,NA,0.156067607913022,0.558154808702435,0,39.1106522563514,232.282609367504,6,60,476.565218735008,5.60066247664389,0.0070057644715967,NA,0.904297056847842
"51","51","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,0.233367950184716,0.782493144463791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29243505312342,0.63582165934762,NA,NA,NA,NA,NA,NA,NA,NA,0.440260834286568,0.767398426695061,NA,NA,NA,NA,-1.08409278875251,0.170259814320357,NA,NA,NA,NA,NA,NA,NA,NA,0.237670235857396,0.203955162648512,NA,NA,0.156067607913022,0.558154808702435,0,39.1106522563514,232.282609367504,6,60,476.565218735008,5.60066247664389,0.0070057644715967,NA,0.911302821319439
"17","17","~1 ~ Biotic ~ 1 ~ Biotic",0.516253733787323,0.85496133576055,0.144630785148927,0.765993030712055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26855433600646,0.663783331452914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0738066926799863,0.149352025127093,-1.09208124044091,0.173845951176429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149344261313815,0.561859773530272,0,47.8966908576364,232.597888797386,6,60,477.195777594771,6.23122133640709,0.00511130051745584,NA,0.916414121836895
"22","22","~1 ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",1.99714771766362,2.11053215133315,1.34167544268385,1.64594079354675,-0.795087911599233,1.32189479203481,NA,NA,NA,NA,NA,NA,0.307253091782616,0.72740383505437,-1.19094186616921,0.554901784272991,NA,NA,NA,NA,-0.311778572593122,0.604177180039462,NA,NA,NA,NA,NA,NA,0.0753568364062119,0.147959784331614,-1.06561765468118,0.157365837384236,NA,NA,NA,NA,-0.45959898211498,0.167744396575016,NA,NA,NA,NA,NA,NA,0.177283438099183,0.550168289405808,0,420.200549697665,228.679550325182,10,60,477.359100650364,6.39454439199994,0.00471049193999442,NA,0.921124613776889
"58","58","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",1.99714771766362,2.11053215133315,1.34167544268385,1.64594079354675,-0.795087911599233,1.32189479203481,NA,NA,NA,NA,NA,NA,0.307253091782616,0.72740383505437,-1.19094186616921,0.554901784272991,NA,NA,NA,NA,-0.311778572593122,0.604177180039462,NA,NA,NA,NA,NA,NA,0.0753568364062119,0.147959784331614,-1.06561765468118,0.157365837384236,NA,NA,NA,NA,-0.45959898211498,0.167744396575016,NA,NA,NA,NA,NA,NA,0.177283438099183,0.550168289405808,0,420.200549697665,228.679550325182,10,60,477.359100650364,6.39454439199994,0.00471049193999442,NA,0.925835105716884
"18","18","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,0.159099046617757,0.749747643854071,NA,NA,NA,NA,NA,NA,NA,NA,-0.141330014758131,0.62418669725047,-1.32572569255782,0.687252451267146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0873095436395253,0.158713688774378,-1.1017701044912,0.173901253080936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114794139090523,0.550421272384518,0,47.8792674558833,232.781759637289,6,60,477.563519274578,6.5989630162137,0.00425282316416844,NA,0.930087928881052
"28","28","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,0.554533427981184,0.838609801934897,NA,NA,NA,NA,NA,NA,0.673112837327441,0.942432244066902,-0.146901946513331,0.643567574935084,-1.22113914190656,0.612078774128637,NA,NA,NA,NA,-0.66076932035245,0.792239302829757,NA,NA,NA,NA,-0.0221465655246192,0.202465408604532,0.102409655873088,0.151974023317696,-1.04885307433937,0.165945157480641,NA,NA,NA,NA,-0.432449833937274,0.169964416365088,NA,NA,NA,NA,NA,NA,0.068769657704281,0.520037746820167,0,66.336755121001,228.832045697816,10,60,477.664091395633,6.6995351372687,0.00404425346418827,NA,0.93413218234524
