"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"8","8","~Elevation ~ 1 ~ Tmax ~ Tmax",NA,NA,-1.83481968979528,0.933600733447181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.304687274938563,0.75691255999462,NA,NA,0.1400285446007,1.01015727221356,NA,NA,NA,NA,NA,NA,NA,NA,-1.49045973574155,0.296601925296159,NA,NA,0.749100641815299,0.365224309448899,NA,NA,NA,NA,NA,NA,0.0456546021895414,0.921462079862161,1.01788214886539,0.999240539516895,0,46.4970413395903,126.187515739924,7,60,266.375031479849,3.2880292002867,0.0162513626988073,NA,0.783117785875312
"35","35","~Elevation^2 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,-1.83481968979528,0.933600733447181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.304687274938563,0.75691255999462,NA,NA,0.1400285446007,1.01015727221356,NA,NA,NA,NA,NA,NA,NA,NA,-1.49045973574155,0.296601925296159,NA,NA,0.749100641815299,0.365224309448899,NA,NA,NA,NA,NA,NA,0.0456546021895414,0.921462079862161,1.01788214886539,0.999240539516895,0,46.4970413395903,126.187515739924,7,60,266.375031479849,3.2880292002867,0.0162513626988073,NA,0.799369148574119
"7","7","~Elevation ~ Tmax ~ 1 ~ Tmax",NA,NA,-1.74894846599461,0.978069335472002,NA,NA,-0.113343064168819,1.00246100555968,NA,NA,NA,NA,NA,NA,-0.241992300109045,0.830915665345347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48260686205012,0.304375832803646,NA,NA,0.754541715441606,0.367795407662947,NA,NA,NA,NA,NA,NA,0.143431407235855,0.875130256515001,1.02052202424971,1.03285144051709,0,54.9409718013603,126.190391636303,7,60,266.380783272605,3.29378099304307,0.0162046926050245,NA,0.815573841179144
"34","34","~Elevation^2 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-1.74894846599461,0.978069335472002,NA,NA,-0.113343064168819,1.00246100555968,NA,NA,NA,NA,NA,NA,-0.241992300109045,0.830915665345347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48260686205012,0.304375832803646,NA,NA,0.754541715441606,0.367795407662947,NA,NA,NA,NA,NA,NA,0.143431407235855,0.875130256515001,1.02052202424971,1.03285144051709,0,54.9409718013603,126.190391636303,7,60,266.380783272605,3.29378099304307,0.0162046926050245,NA,0.831778533784169
"22","22","~1 ~ 1 ~ Tvar * Biotic ~ Tvar * Biotic",NA,NA,-2.15239160233688,0.89226808687891,NA,NA,NA,NA,NA,NA,NA,NA,0.89433320476109,0.593232739782349,-0.815083627845552,0.742212187504177,NA,NA,NA,NA,NA,NA,0.66311927256134,1.18040331527509,-1.85883277637682,1.41960013599402,0.582313064065078,0.330339642873064,-1.53100023220976,0.226643810885873,NA,NA,NA,NA,NA,NA,-1.93741541528485,0.755499513058569,1.56025942864033,0.539215153922553,NA,NA,0.691366956507519,0.603268225741408,0,69.8435292582687,123.288045112996,10,60,266.576090225991,3.48908794642887,0.0146970587771291,NA,0.846475592561298
"47","47","~1 ~ 1 ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic",NA,NA,-2.15239160233688,0.89226808687891,NA,NA,NA,NA,NA,NA,NA,NA,0.89433320476109,0.593232739782349,-0.815083627845552,0.742212187504177,NA,NA,NA,NA,NA,NA,0.66311927256134,1.18040331527509,-1.85883277637682,1.41960013599402,0.582313064065078,0.330339642873064,-1.53100023220976,0.226643810885873,NA,NA,NA,NA,NA,NA,-1.93741541528485,0.755499513058569,1.56025942864033,0.539215153922553,NA,NA,0.691366956507519,0.603268225741408,0,69.8435292582687,123.288045112996,10,60,266.576090225991,3.48908794642887,0.0146970587771291,NA,0.861172651338427
"15","15","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,-1.00564197404488,1.1137055814761,NA,NA,NA,NA,NA,NA,NA,NA,0.263224628034229,1.08848873150651,0.176628683077298,1.67102181239619,NA,NA,NA,NA,0.823282658559359,0.978072783007613,NA,NA,NA,NA,-0.0953003276456866,0.41733933340205,-1.92570696965071,0.436447484504361,NA,NA,NA,NA,-0.494599964164087,0.263450429565104,NA,NA,NA,NA,NA,NA,0.428754723922219,0.700941449356233,0,192.13357118066,125.557251530419,8,60,267.114503060837,4.02750078127508,0.0112283403780959,NA,0.872400991716523
"41","41","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-1.00564197404488,1.1137055814761,NA,NA,NA,NA,NA,NA,NA,NA,0.263224628034229,1.08848873150651,0.176628683077298,1.67102181239619,NA,NA,NA,NA,0.823282658559359,0.978072783007613,NA,NA,NA,NA,-0.0953003276456866,0.41733933340205,-1.92570696965071,0.436447484504361,NA,NA,NA,NA,-0.494599964164087,0.263450429565104,NA,NA,NA,NA,NA,NA,0.428754723922219,0.700941449356233,0,192.13357118066,125.557251530419,8,60,267.114503060837,4.02750078127508,0.0112283403780959,NA,0.883629332094619
"28","28","~Elevation ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",-4.10859558853429,4.19840810965201,-4.17986620341004,2.36815702980723,NA,NA,NA,NA,NA,NA,0.055678101601351,1.13853215545021,NA,NA,-1.2337325322953,0.608943439046614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166911819391921,0.282534384819288,-1.70645468969197,0.244986670415372,NA,NA,NA,NA,NA,NA,NA,NA,0.367664054548982,0.3232782621326,0.109110144323223,0.532817119439215,0.195939004484387,0.559327379194904,0,522.564175448325,124.784197130227,9,60,267.568394260454,4.48139198089166,0.00894858458940847,NA,0.892577916684027
"53","53","~Elevation^2 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",-4.10859558853429,4.19840810965201,-4.17986620341004,2.36815702980723,NA,NA,NA,NA,NA,NA,0.055678101601351,1.13853215545021,NA,NA,-1.2337325322953,0.608943439046614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166911819391921,0.282534384819288,-1.70645468969197,0.244986670415372,NA,NA,NA,NA,NA,NA,NA,NA,0.367664054548982,0.3232782621326,0.109110144323223,0.532817119439215,0.195939004484387,0.559327379194904,0,522.564175448325,124.784197130227,9,60,267.568394260454,4.48139198089166,0.00894858458940847,NA,0.901526501273436
"9","9","~1 ~ Tvar ~ Tvar ~ Tvar",NA,NA,-1.6511192063802,0.765398918290892,NA,NA,NA,NA,NA,NA,-0.780958784983343,1.29335339503912,NA,NA,-0.48705031395644,0.892820051221027,NA,NA,NA,NA,NA,NA,NA,NA,-1.78655826408871,1.49826762779262,NA,NA,-1.62316247073913,0.294081733567659,NA,NA,NA,NA,NA,NA,NA,NA,0.448841877615137,0.364752486166944,NA,NA,0.488425551505066,0.727449558593913,0,65.5891710598897,126.793252916093,7,60,267.586505832186,4.49950355262376,0.00886791394291016,NA,0.910394415216346
"36","36","~1 ~ Tvar^2 ~ Tvar^2 ~ Tvar^2",NA,NA,-1.6511192063802,0.765398918290892,NA,NA,NA,NA,NA,NA,-0.780958784983343,1.29335339503912,NA,NA,-0.48705031395644,0.892820051221027,NA,NA,NA,NA,NA,NA,NA,NA,-1.78655826408871,1.49826762779262,NA,NA,-1.62316247073913,0.294081733567659,NA,NA,NA,NA,NA,NA,NA,NA,0.448841877615137,0.364752486166944,NA,NA,0.488425551505066,0.727449558593913,0,65.5891710598897,126.793252916093,7,60,267.586505832186,4.49950355262376,0.00886791394291016,NA,0.919262329159256
"12","12","~Elevation ~ 1 ~ Tvar ~ Tvar",NA,NA,-1.71956032116974,1.21881283277251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.642442539078453,1.30041028528954,NA,NA,NA,NA,NA,NA,NA,NA,-1.39812060811551,1.56716441758829,NA,NA,-1.66146541983696,0.316070907901333,NA,NA,NA,NA,NA,NA,NA,NA,0.484655177744275,0.373809909085605,-0.0567057707313315,0.697984658800564,0.57876503544917,0.757013822940712,0,83.1665777117789,127.052350783842,7,60,268.104701567684,5.01769928812155,0.00684379032837869,NA,0.926106119487635
