"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"26","26","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",NA,NA,0.726640774390393,1.03480656165851,-1.98887604002029,0.595118002811162,NA,NA,-0.854630935029439,0.978953808281104,NA,NA,NA,NA,NA,NA,NA,NA,-1.47496322929489,0.833402906101383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.725373821340424,0.326690805307705,-2.58810247022947,0.4746789056729,NA,NA,1.18661928365708,0.44291171888191,NA,NA,NA,NA,NA,NA,-2.65145627790516,1.06026079566698,0,52.8399341991276,119.412704769888,8,60,254.825409539776,22.4151626165373,1.07461041443221e-05,NA,0.999827271003484
"52","52","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",NA,NA,0.726640774390393,1.03480656165851,-1.98887604002029,0.595118002811162,NA,NA,-0.854630935029439,0.978953808281104,NA,NA,NA,NA,NA,NA,NA,NA,-1.47496322929489,0.833402906101383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.725373821340424,0.326690805307705,-2.58810247022947,0.4746789056729,NA,NA,1.18661928365708,0.44291171888191,NA,NA,NA,NA,NA,NA,-2.65145627790516,1.06026079566698,0,52.8399341991276,119.412704769888,8,60,254.825409539776,22.4151626165373,1.07461041443221e-05,NA,0.999838017107629
"19","19","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,NA,NA,-2.49129584171229,0.387136573617677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.55815693841047,1.33401200895621,0.0300258757658158,1.04690079037823,NA,NA,NA,NA,-2.33156728289642,1.95887233238155,NA,NA,NA,NA,-1.18432019788837,0.373660410158602,-0.609146847099213,0.455140256603811,NA,NA,NA,NA,-1.39380495846351,0.544156057299169,NA,NA,NA,NA,-2.74686524766984,1.04340415758965,0,188.148194301299,119.457861574324,8,60,254.915723148648,22.5054762254086,1.02716377368457e-05,NA,0.999848288745366
"45","45","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,NA,NA,-2.49129584171229,0.387136573617677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.55815693841047,1.33401200895621,0.0300258757658158,1.04690079037823,NA,NA,NA,NA,-2.33156728289642,1.95887233238155,NA,NA,NA,NA,-1.18432019788837,0.373660410158602,-0.609146847099213,0.455140256603811,NA,NA,NA,NA,-1.39380495846351,0.544156057299169,NA,NA,NA,NA,-2.74686524766984,1.04340415758965,0,188.148194301299,119.457861574324,8,60,254.915723148648,22.5054762254086,1.02716377368457e-05,NA,0.999858560383102
"29","29","~1 ~ 1 ~ Tmax * Biotic ~ Tmax * Biotic",NA,NA,NA,NA,-2.40860752739568,0.406551579130368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47267024439379,2.12611057629795,0.124697523039485,1.367572220444,0.709736002737445,4.98982740516793,-4.01714035050705,6.11267666043618,NA,NA,NA,NA,NA,NA,0.0540039542260522,0.683090454483795,-2.21078268411167,0.477891035453671,-0.855094330135149,0.663228336919006,0.7763634515204,0.48967140077539,NA,NA,NA,NA,NA,NA,-2.59351511733463,1.0654033196776,0,2119.4534961379,117.523521645285,10,60,255.047043290569,22.6367963673301,9.61886628858425e-06,NA,0.999868179249391
"54","54","~1 ~ 1 ~ Tmax^2 * Biotic ~ Tmax^2 * Biotic",NA,NA,NA,NA,-2.40860752739568,0.406551579130368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47267024439379,2.12611057629795,0.124697523039485,1.367572220444,0.709736002737445,4.98982740516793,-4.01714035050705,6.11267666043618,NA,NA,NA,NA,NA,NA,0.0540039542260522,0.683090454483795,-2.21078268411167,0.477891035453671,-0.855094330135149,0.663228336919006,0.7763634515204,0.48967140077539,NA,NA,NA,NA,NA,NA,-2.59351511733463,1.0654033196776,0,2119.4534961379,117.523521645285,10,60,255.047043290569,22.6367963673301,9.61886628858425e-06,NA,0.99987779811568
"10","10","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,NA,NA,-2.37281669511835,0.399647716679975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107076466946312,1.24396600892015,NA,NA,-3.25478945623633,3.59428661981538,NA,NA,NA,NA,NA,NA,NA,NA,-2.32163981375288,0.480870918980472,NA,NA,1.17809741038809,0.441844840094065,NA,NA,NA,NA,NA,NA,-2.78025845405837,1.04155625724398,0,560.759588220015,121.584658549735,6,60,255.16931709947,22.7590701762311,9.0484140916386e-06,NA,0.999886846529771
"39","39","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,-2.37281669511835,0.399647716679975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107076466946312,1.24396600892015,NA,NA,-3.25478945623633,3.59428661981538,NA,NA,NA,NA,NA,NA,NA,NA,-2.32163981375288,0.480870918980472,NA,NA,1.17809741038809,0.441844840094065,NA,NA,NA,NA,NA,NA,-2.78025845405837,1.04155625724398,0,560.759588220015,121.584658549735,6,60,255.16931709947,22.7590701762311,9.0484140916386e-06,NA,0.999895894943863
"8","8","~1 ~ Tmax ~ Tmax ~ Tmax",NA,NA,NA,NA,-1.79333004935504,0.551882681571075,NA,NA,-1.15726232611045,0.962005894169496,NA,NA,NA,NA,NA,NA,NA,NA,0.439897983464851,1.26308512636103,NA,NA,-4.5925940831611,4.32729713537317,NA,NA,NA,NA,NA,NA,NA,NA,-2.38278168403156,0.468473542365874,NA,NA,1.20088813389638,0.436621659387918,NA,NA,NA,NA,NA,NA,-2.64967536790078,1.043768625668,0,833.341855918164,120.714996433876,7,60,255.429992867752,23.0197459445127,7.94268690956097e-06,NA,0.999903837630772
"37","37","~1 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",NA,NA,NA,NA,-1.79333004935504,0.551882681571075,NA,NA,-1.15726232611045,0.962005894169496,NA,NA,NA,NA,NA,NA,NA,NA,0.439897983464851,1.26308512636103,NA,NA,-4.5925940831611,4.32729713537317,NA,NA,NA,NA,NA,NA,NA,NA,-2.38278168403156,0.468473542365874,NA,NA,1.20088813389638,0.436621659387918,NA,NA,NA,NA,NA,NA,-2.64967536790078,1.043768625668,0,833.341855918164,120.714996433876,7,60,255.429992867752,23.0197459445127,7.94268690956097e-06,NA,0.999911780317682
