"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Int)","SEext(Int)","ext(Tmin)","SEext(Tmin)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"6","6","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,NA,NA,0.847479136193649,2.53914647673415,NA,NA,NA,NA,NA,NA,NA,NA,-0.443379827294828,0.946355452312253,1.26063677683287,0.903813742789235,NA,NA,NA,NA,NA,NA,NA,NA,-1.94972869501857,0.537471502522435,NA,NA,NA,NA,NA,NA,NA,NA,-0.138158739101368,0.39204063363578,NA,NA,-1.66567617055726,0.843770894249994,0,159.715054148906,103.195384659508,6,60,218.390769319017,3.89608412158864,0.0122013533341117,NA,0.850142042879997
"29","29","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,NA,NA,0.847479136193649,2.53914647673415,NA,NA,NA,NA,NA,NA,NA,NA,-0.443379827294828,0.946355452312253,1.26063677683287,0.903813742789235,NA,NA,NA,NA,NA,NA,NA,NA,-1.94972869501857,0.537471502522435,NA,NA,NA,NA,NA,NA,NA,NA,-0.138158739101368,0.39204063363578,NA,NA,-1.66567617055726,0.843770894249994,0,159.715054148906,103.195384659508,6,60,218.390769319017,3.89608412158864,0.0122013533341117,NA,0.862343396214108
"7","7","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,NA,NA,0.500706032039386,2.0366033213987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30642738579132,0.926389949164194,NA,NA,-0.573008630888466,1.46781006541099,NA,NA,NA,NA,-1.85809460266467,0.560228178776454,NA,NA,NA,NA,NA,NA,NA,NA,-0.178206473744679,0.396811757913841,NA,NA,-1.71180371415008,0.84066495011737,0,102.96134912576,103.254330206113,6,60,218.508660412226,4.01397521479754,0.0115029247372016,NA,0.87384632095131
"30","30","~1 ~ 1 ~ Tvar^2 ~ Tvar^2",NA,NA,NA,NA,0.500706032039386,2.0366033213987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30642738579132,0.926389949164194,NA,NA,-0.573008630888466,1.46781006541099,NA,NA,NA,NA,-1.85809460266467,0.560228178776454,NA,NA,NA,NA,NA,NA,NA,NA,-0.178206473744679,0.396811757913841,NA,NA,-1.71180371415008,0.84066495011737,0,102.96134912576,103.254330206113,6,60,218.508660412226,4.01397521479754,0.0115029247372016,NA,0.885349245688512
"23","23","~1 ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",NA,NA,-1.2993642089871,0.650867241101153,-0.177318820139321,0.706898298642454,NA,NA,NA,NA,NA,NA,NA,NA,-0.503037910068431,0.715269910986966,1.25407825491612,0.862994055041832,NA,NA,NA,NA,NA,NA,0.319969165149264,0.336259058804832,-1.62879741714666,0.340277340603245,NA,NA,NA,NA,NA,NA,NA,NA,-0.225226141154125,0.418090822482595,NA,NA,-1.83180718910543,0.791576078678228,0,16.2959766555537,101.3924795727,8,60,218.784959145401,4.29027394797225,0.0100186861211051,NA,0.895367931809617
"43","43","~1 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",NA,NA,-1.2993642089871,0.650867241101153,-0.177318820139321,0.706898298642454,NA,NA,NA,NA,NA,NA,NA,NA,-0.503037910068431,0.715269910986966,1.25407825491612,0.862994055041832,NA,NA,NA,NA,NA,NA,0.319969165149264,0.336259058804832,-1.62879741714666,0.340277340603245,NA,NA,NA,NA,NA,NA,NA,NA,-0.225226141154125,0.418090822482595,NA,NA,-1.83180718910543,0.791576078678228,0,16.2959766555537,101.3924795727,8,60,218.784959145401,4.29027394797225,0.0100186861211051,NA,0.905386617930722
"9","9","~Elevation ~ Tvar ~ 1 ~ Tvar",NA,NA,NA,NA,0.106470026034214,2.35628398620228,NA,NA,NA,NA,NA,NA,NA,NA,-0.347195762552447,0.719384410782243,1.06734296635705,1.34385114511049,NA,NA,NA,NA,NA,NA,NA,NA,-1.78218477747581,0.670344222698639,NA,NA,NA,NA,NA,NA,NA,NA,-0.132890407975421,0.411875977258129,-1.12583967291154,1.3399807938774,-1.99037221539945,1.04009325573776,0,157.684473562487,102.607675503474,7,60,219.215351006947,4.72066580951898,0.00807890247211133,NA,0.913465520402833
"32","32","~Elevation^2 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,NA,NA,0.106470026034214,2.35628398620228,NA,NA,NA,NA,NA,NA,NA,NA,-0.347195762552447,0.719384410782243,1.06734296635705,1.34385114511049,NA,NA,NA,NA,NA,NA,NA,NA,-1.78218477747581,0.670344222698639,NA,NA,NA,NA,NA,NA,NA,NA,-0.132890407975421,0.411875977258129,-1.12583967291154,1.3399807938774,-1.99037221539945,1.04009325573776,0,157.684473562487,102.607675503474,7,60,219.215351006947,4.72066580951898,0.00807890247211133,NA,0.921544422874945
"24","24","~Elevation ~ Tvar + Biotic ~ 1 ~ Tvar + Biotic",NA,NA,-1.3302623483959,0.668639629930124,-0.336880612201898,0.722804462204685,NA,NA,NA,NA,NA,NA,NA,NA,-0.516374417967656,0.704647372263331,0.966504460563753,0.958368979717502,NA,NA,NA,NA,NA,NA,0.348478599084424,0.336333989053199,-1.60401729254029,0.337961842161399,NA,NA,NA,NA,NA,NA,NA,NA,-0.179933939625937,0.424823269169561,-1.35576868928693,1.39290138497015,-2.11821924124081,1.06780162716682,0,51.5951695881931,100.613546879028,9,60,219.227093758055,4.73240856062694,0.00803160718170721,NA,0.929576030056652
"44","44","~Elevation^2 ~ Tvar^2 + Biotic ~ 1 ~ Tvar^2 + Biotic",NA,NA,-1.3302623483959,0.668639629930124,-0.336880612201898,0.722804462204685,NA,NA,NA,NA,NA,NA,NA,NA,-0.516374417967656,0.704647372263331,0.966504460563753,0.958368979717502,NA,NA,NA,NA,NA,NA,0.348478599084424,0.336333989053199,-1.60401729254029,0.337961842161399,NA,NA,NA,NA,NA,NA,NA,NA,-0.179933939625937,0.424823269169561,-1.35576868928693,1.39290138497015,-2.11821924124081,1.06780162716682,0,51.5951695881931,100.613546879028,9,60,219.227093758055,4.73240856062694,0.00803160718170721,NA,0.937607637238359
