"","model","formula","col(Biotic:Tmin)","SEcol(Biotic:Tmin)","col(Biotic)","SEcol(Biotic)","col(ForestLossCT)","SEcol(ForestLossCT)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestLossCT)","SEext(ForestLossCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"107","107","~Elevation^2 ~ Tvar^2 * Biotic ~ 1 ~ Tvar^2 * Biotic",NA,NA,0.613689486757287,0.446438433609526,NA,NA,-0.47807407848419,0.514419841044676,NA,NA,NA,NA,NA,NA,-0.57248646994854,0.508432684574367,0.770087896800465,0.589798703990654,NA,NA,NA,NA,NA,NA,-0.642239463302002,0.461771897634053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297553535799111,0.162256319652073,NA,NA,-0.938877770667673,0.198240575793486,NA,NA,NA,NA,NA,NA,0.18669173197719,0.235715627475876,0.19764956128838,0.205148303157628,1.17441273848622,0.842630331872547,-0.517113040283248,0.653744464286255,0,60.6545366103548,202.76543973228,11,61,427.530879464559,4.0203534797738,0.012025739857084,NA,0.548201510102075
"3","3","~1 ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,NA,NA,-0.342852781217615,0.400054185748666,NA,NA,NA,NA,-0.497314934750551,0.413213044736586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.670903104450008,0.459586610945666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.910558925780685,0.189076717413082,NA,NA,NA,NA,-0.156992777589282,0.164344660181244,NA,NA,NA,NA,NA,NA,-0.69148672579005,0.585831494208826,0,17.8253778183582,207.818533618575,6,61,427.63706723715,4.12654125236423,0.0114039005955301,NA,0.559605410697605
"63","63","~1 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,NA,NA,-0.342852781217615,0.400054185748666,NA,NA,NA,NA,-0.497314934750551,0.413213044736586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.670903104450008,0.459586610945666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.910558925780685,0.189076717413082,NA,NA,NA,NA,-0.156992777589282,0.164344660181244,NA,NA,NA,NA,NA,NA,-0.69148672579005,0.585831494208826,0,17.8253778183582,207.818533618575,6,61,427.63706723715,4.12654125236423,0.0114039005955301,NA,0.571009311293135
"6","6","~Elevation ~ Tmin ~ 1 ~ Tmin",NA,NA,NA,NA,NA,NA,-0.316458002837607,0.389617906554027,NA,NA,NA,NA,-0.48137070436151,0.40766116450197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.645359685101316,0.452628026417943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.885641492491331,0.185280323454257,NA,NA,NA,NA,-0.121101958070306,0.165527789539186,NA,NA,NA,NA,1.00823994209607,0.78720273350598,-0.604742633813978,0.618716419551998,0,31.2121579519082,206.842267563495,7,61,427.68453512699,4.17400914220451,0.011136427695963,NA,0.582145738989098
"66","66","~Elevation^2 ~ Tmin^2 ~ 1 ~ Tmin^2",NA,NA,NA,NA,NA,NA,-0.316458002837607,0.389617906554027,NA,NA,NA,NA,-0.48137070436151,0.40766116450197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.645359685101316,0.452628026417943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.885641492491331,0.185280323454257,NA,NA,NA,NA,-0.121101958070306,0.165527789539186,NA,NA,NA,NA,1.00823994209607,0.78720273350598,-0.604742633813978,0.618716419551998,0,31.2121579519082,206.842267563495,7,61,427.68453512699,4.17400914220451,0.011136427695963,NA,0.593282166685062
"120","120","~Elevation^2 ~ 1 ~ ForestLossCT ~ ForestLossCT",NA,NA,NA,NA,NA,NA,-0.472284435844557,0.382977076249265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.911192077851984,1.02158998231546,-0.986796564418667,0.566520868526657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33465079768269,0.238726054767333,-0.897372583402588,0.180893438908085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0966463583366,0.81704285974954,-0.521213612724508,0.647514254404084,0,45.6585217052086,206.894557953218,7,61,427.789115906437,4.27858992165091,0.0105690626924291,NA,0.603851229377491
"61","61","~Elevation ~ 1 ~ Tvar + Biotic ~ Tvar + Biotic",NA,NA,NA,NA,NA,NA,-0.229066629377695,0.451537286291821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.228791733522127,0.474221105936532,NA,NA,-0.790383008211901,0.642055196979082,NA,NA,NA,NA,NA,NA,NA,NA,-0.294698895154211,0.769027591964131,NA,NA,0.260421472591487,0.167772074333348,NA,NA,-1.00953286826388,0.213093205534167,NA,NA,NA,NA,NA,NA,NA,NA,0.302162740143224,0.217658764922128,1.22363143708502,0.837761396366476,-0.497736166935655,0.659681538717973,0,64.1953181603109,204.902657075811,9,61,427.805314151623,4.29478816683724,0.0104838082670368,NA,0.614335037644527
"114","114","~Elevation^2 ~ 1 ~ Tvar^2 + Biotic ~ Tvar^2 + Biotic",NA,NA,NA,NA,NA,NA,-0.229066629377695,0.451537286291821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.228791733522127,0.474221105936532,NA,NA,-0.790383008211901,0.642055196979082,NA,NA,NA,NA,NA,NA,NA,NA,-0.294698895154211,0.769027591964131,NA,NA,0.260421472591487,0.167772074333348,NA,NA,-1.00953286826388,0.213093205534167,NA,NA,NA,NA,NA,NA,NA,NA,0.302162740143224,0.217658764922128,1.22363143708502,0.837761396366476,-0.497736166935655,0.659681538717973,0,64.1953181603109,204.902657075811,9,61,427.805314151623,4.29478816683724,0.0104838082670368,NA,0.624818845911564
"27","27","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",NA,NA,0.283989445494332,0.427108377888054,NA,NA,-0.398740000815455,0.473948291919353,NA,NA,NA,NA,-0.486783570347355,0.428995314225528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.709855534933334,0.470986431389609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248605670993958,0.139441713499705,NA,NA,-1.03179571541075,0.204366985484321,NA,NA,NA,NA,-0.128985638394947,0.16590000419764,NA,NA,NA,NA,NA,NA,-0.598307956659227,0.599356429929996,0,32.0067305717444,205.906632336731,8,61,427.813264673461,4.30273868867579,0.0104422151203266,NA,0.635261061031891
"84","84","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",NA,NA,0.283989445494332,0.427108377888054,NA,NA,-0.398740000815455,0.473948291919353,NA,NA,NA,NA,-0.486783570347355,0.428995314225528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.709855534933334,0.470986431389609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248605670993958,0.139441713499705,NA,NA,-1.03179571541075,0.204366985484321,NA,NA,NA,NA,-0.128985638394947,0.16590000419764,NA,NA,NA,NA,NA,NA,-0.598307956659227,0.599356429929996,0,32.0067305717444,205.906632336731,8,61,427.813264673461,4.30273868867579,0.0104422151203266,NA,0.645703276152217
