"","model","formula","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestGainCT)","SEext(ForestGainCT)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestGainCT)","SEp(ForestGainCT)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"9","9","~1 ~ Tmax ~ 1 ~ Tmax",2.14381132989202,1.08064737517996,0.426601275865879,0.906971405881529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.44983305610921,0.270386977001856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134591357766552,0.086813897358242,NA,NA,0.234368222780485,0.0960868160277992,NA,NA,NA,NA,NA,NA,NA,NA,1.08587343901771,0.467205007388308,0,273.752091083511,514.766746201153,6,60,1041.53349240231,12.7264644524239,0.000329827205789733,NA,0.997538830927707
"40","40","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",2.14381132989202,1.08064737517996,0.426601275865879,0.906971405881529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.44983305610921,0.270386977001856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134591357766552,0.086813897358242,NA,NA,0.234368222780485,0.0960868160277992,NA,NA,NA,NA,NA,NA,NA,NA,1.08587343901771,0.467205007388308,0,273.752091083511,514.766746201153,6,60,1041.53349240231,12.7264644524239,0.000329827205789733,NA,0.997868658133497
"10","10","~1 ~ 1 ~ Tmax ~ Tmax",1.90853792293606,0.847968185279867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.44127914203844,0.274911683445411,NA,NA,0.0458057090194277,0.276924539902725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134708727281199,0.0867940264339555,NA,NA,0.238541467577645,0.0967020812989628,NA,NA,NA,NA,NA,NA,NA,NA,1.08275907922219,0.465677924580963,0,119.854227989156,514.852746625556,6,60,1041.70549325111,12.8984653012299,0.000302647412887628,NA,0.998171305546385
"41","41","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",1.90853792293606,0.847968185279867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.44127914203844,0.274911683445411,NA,NA,0.0458057090194277,0.276924539902725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134708727281199,0.0867940264339555,NA,NA,0.238541467577645,0.0967020812989628,NA,NA,NA,NA,NA,NA,NA,NA,1.08275907922219,0.465677924580963,0,119.854227989156,514.852746625556,6,60,1041.70549325111,12.8984653012299,0.000302647412887628,NA,0.998473952959272
"12","12","~Elevation ~ Tmax ~ 1 ~ Tmax",2.10394245335427,1.03507057592367,0.413656468232865,0.89782153332824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45272155025783,0.270312834641621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136831819599443,0.086783575638015,NA,NA,0.235131921905779,0.096263506810922,NA,NA,NA,NA,NA,NA,1.33076218471526,1.72986572318263,-0.184040786490409,1.65153432392887,0,936.269541383827,514.459042173068,7,60,1042.91808434614,14.1110563962527,0.000165054038540956,NA,0.998639006997813
"43","43","~Elevation^2 ~ Tmax^2 ~ 1 ~ Tmax^2",2.10394245335427,1.03507057592367,0.413656468232865,0.89782153332824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45272155025783,0.270312834641621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136831819599443,0.086783575638015,NA,NA,0.235131921905779,0.096263506810922,NA,NA,NA,NA,NA,NA,1.33076218471526,1.72986572318263,-0.184040786490409,1.65153432392887,0,936.269541383827,514.459042173068,7,60,1042.91808434614,14.1110563962527,0.000165054038540956,NA,0.998804061036354
"13","13","~Elevation ~ 1 ~ Tmax ~ Tmax",1.8820394426469,0.82182339757588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.44340378073888,0.274833579559333,NA,NA,0.0459223799600292,0.277020360706339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136978284451562,0.08677231571506,NA,NA,0.2392245769128,0.0968773636422743,NA,NA,NA,NA,NA,NA,1.3311942369556,1.72478265781378,-0.186968254334772,1.64627224043834,0,926.474806642728,514.541581884281,7,60,1043.08316376856,14.2761358186788,0.000151977611217841,NA,0.998956038647572
"44","44","~Elevation^2 ~ 1 ~ Tmax^2 ~ Tmax^2",1.8820394426469,0.82182339757588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.44340378073888,0.274833579559333,NA,NA,0.0459223799600292,0.277020360706339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136978284451562,0.08677231571506,NA,NA,0.2392245769128,0.0968773636422743,NA,NA,NA,NA,NA,NA,1.3311942369556,1.72478265781378,-0.186968254334772,1.64627224043834,0,926.474806642728,514.541581884281,7,60,1043.08316376856,14.2761358186788,0.000151977611217841,NA,0.99910801625879
"8","8","~1 ~ Tmax ~ Tmax ~ Tmax",2.14522540290665,1.08288579961112,0.433719899556906,0.907562167294471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43999543489053,0.274828012630004,NA,NA,0.0502918058726286,0.276752386589568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13448607811513,0.0868254716228462,NA,NA,0.23521439430858,0.0962749124120271,NA,NA,NA,NA,NA,NA,NA,NA,1.08670896357826,0.467547716630717,0,274.462075656288,514.750610882233,7,60,1043.50122176447,14.6941938145842,0.000123310333867547,NA,0.999231326592657
"39","39","~1 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",2.14522540290665,1.08288579961112,0.433719899556906,0.907562167294471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.43999543489053,0.274828012630004,NA,NA,0.0502918058726286,0.276752386589568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13448607811513,0.0868254716228462,NA,NA,0.23521439430858,0.0962749124120271,NA,NA,NA,NA,NA,NA,NA,NA,1.08670896357826,0.467547716630717,0,274.462075656288,514.750610882233,7,60,1043.50122176447,14.6941938145842,0.000123310333867547,NA,0.999354636926525
