"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"28","28","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,-0.928515067403869,0.740736585826676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268322499285557,1.15787121161676,0.703140368665478,1.15534253143336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.56666650396193,0.545870821279598,0.258031072587946,0.218882228105116,NA,NA,NA,NA,NA,NA,NA,NA,-1.93630351593502,1.21690712516383,0,59.337123775006,86.2934820260798,6,61,184.58696405216,8.6221833740758,0.00214715568508467,NA,0.983203583352944
"6","6","~1 ~ Tmax ~ 1 ~ Tmax",NA,NA,-0.908048601110608,0.724623304907623,-0.284645416662299,0.506617528452171,NA,NA,NA,NA,NA,NA,NA,NA,0.367118407156459,1.17901474246684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.55512601159187,0.55073475017906,0.258240444605848,0.218968256286728,NA,NA,NA,NA,NA,NA,NA,NA,-1.96513099362866,1.23259953945894,0,61.7206834082703,86.3885016486657,6,61,184.777003297331,8.81222261924765,0.0019525269521018,NA,0.985156110305046
"27","27","~1 ~ Tmax^2 ~ 1 ~ Tmax^2",NA,NA,-0.908048601110608,0.724623304907623,-0.284645416662299,0.506617528452171,NA,NA,NA,NA,NA,NA,NA,NA,0.367118407156459,1.17901474246684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.55512601159187,0.55073475017906,0.258240444605848,0.218968256286728,NA,NA,NA,NA,NA,NA,NA,NA,-1.96513099362866,1.23259953945894,0,61.7206834082703,86.3885016486657,6,61,184.777003297331,8.81222261924765,0.0019525269521018,NA,0.987108637257148
"13","13","~1 ~ 1 ~ Biotic ~ Biotic",NA,NA,-0.956936480684626,0.726846791699749,NA,NA,NA,NA,NA,NA,NA,NA,-1.03412674278973,1.94036453790009,1.18326248991785,1.06304042757709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250743369441186,0.561450070636226,-2.30808168204943,0.515624809559563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.05569338210929,1.25146626154244,0,70.2894416800351,86.5853430741064,6,61,185.170686148213,9.20590547012895,0.00160365112246505,NA,0.988712288379613
"12","12","~1 ~ Biotic ~ 1 ~ Biotic",0.33281578582911,0.938483623468996,-1.06395789726203,0.671918740337216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61590130063336,1.13320965905542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.362002897103086,0.497344311828886,-2.32420439087769,0.500178883282897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.16777827734765,1.16922653881516,0,27.2037433997829,86.6104678411707,6,61,185.220935682341,9.25615500425769,0.00156386170456888,NA,0.990276150084182
"16","16","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,-1.02319215566785,0.623931873386083,NA,NA,NA,NA,NA,NA,NA,NA,-1.54238144147458,2.06163512957275,2.4873980541754,1.97252361423546,NA,NA,1.93770900791804,1.770625524118,NA,NA,NA,NA,NA,NA,0.195942019115047,0.513464411026356,-2.19385875345541,0.45908903963994,NA,NA,-0.314608942624005,0.29449428704951,NA,NA,NA,NA,NA,NA,-2.10744155057677,1.19083692075735,0,134.835084110016,84.7365252270668,8,61,185.473050454134,9.50826977604984,0.00137864458003927,NA,0.991654794664221
"34","34","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-1.02319215566785,0.623931873386083,NA,NA,NA,NA,NA,NA,NA,NA,-1.54238144147458,2.06163512957275,2.4873980541754,1.97252361423546,NA,NA,1.93770900791804,1.770625524118,NA,NA,NA,NA,NA,NA,0.195942019115047,0.513464411026356,-2.19385875345541,0.45908903963994,NA,NA,-0.314608942624005,0.29449428704951,NA,NA,NA,NA,NA,NA,-2.10744155057677,1.19083692075735,0,134.835084110016,84.7365252270668,8,61,185.473050454134,9.50826977604984,0.00137864458003927,NA,0.99303343924426
"19","19","~1 ~ 1 ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,-1.11329130784847,0.664696268881175,NA,NA,NA,NA,NA,NA,NA,NA,1.90328013596602,1.79089185345662,-0.509111444609369,1.11895485663387,0.870273697809597,1.28204406854663,NA,NA,NA,NA,NA,NA,NA,NA,0.86194326956757,0.493612305862487,-2.66081424503108,0.442570295901723,0.321961466546485,0.196818717564574,NA,NA,NA,NA,NA,NA,NA,NA,-1.88323990686624,1.13601280611363,0,128.295324589962,85.1505858808299,8,61,186.30117176166,10.3363910835761,0.00091123010765226,NA,0.993944669351912
"37","37","~1 ~ 1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,-1.11329130784847,0.664696268881175,NA,NA,NA,NA,NA,NA,NA,NA,1.90328013596602,1.79089185345662,-0.509111444609369,1.11895485663387,0.870273697809597,1.28204406854663,NA,NA,NA,NA,NA,NA,NA,NA,0.86194326956757,0.493612305862487,-2.66081424503108,0.442570295901723,0.321961466546485,0.196818717564574,NA,NA,NA,NA,NA,NA,NA,NA,-1.88323990686624,1.13601280611363,0,128.295324589962,85.1505858808299,8,61,186.30117176166,10.3363910835761,0.00091123010765226,NA,0.994855899459565
"5","5","~1 ~ Tmax ~ Tmax ~ Tmax",NA,NA,-0.92673153856532,0.722384998826304,-0.168104637388555,0.547305827095126,NA,NA,NA,NA,NA,NA,NA,NA,0.277610543460031,1.16753551543572,0.536547152108362,1.16566648113936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.55610385956015,0.545214812965393,0.261481327438239,0.218902091176987,NA,NA,NA,NA,NA,NA,NA,NA,-1.96190887747456,1.22209052119247,0,60.2076200450082,86.2465117516644,7,61,186.493023503329,10.528242825245,0.000827881131023307,NA,0.995683780590588
"26","26","~1 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",NA,NA,-0.92673153856532,0.722384998826304,-0.168104637388555,0.547305827095126,NA,NA,NA,NA,NA,NA,NA,NA,0.277610543460031,1.16753551543572,0.536547152108362,1.16566648113936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.55610385956015,0.545214812965393,0.261481327438239,0.218902091176987,NA,NA,NA,NA,NA,NA,NA,NA,-1.96190887747456,1.22209052119247,0,60.2076200450082,86.2465117516644,7,61,186.493023503329,10.528242825245,0.000827881131023307,NA,0.996511661721611
"11","11","~1 ~ Biotic ~ Biotic ~ Biotic",0.725213870399459,1.11403453847042,-1.22440827109455,0.641455500805784,NA,NA,NA,NA,NA,NA,NA,NA,1.34660754492695,1.59468620658598,-0.00298584048447343,1.01399083990591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587492791435,0.517290886106004,-2.42745434067831,0.465383310331946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.01900138226691,1.19047574060298,0,44.7213302714094,86.3014104024647,7,61,186.602820804929,10.6380401268457,0.0007836566137305,NA,0.997295318335342
"18","18","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",0.471339094841317,1.21475783131306,-0.910793872784609,0.757639273009205,-0.32787776845555,0.522569836287929,NA,NA,NA,NA,NA,NA,NA,NA,0.115020345623898,1.30935919964589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46029675272722,0.525046388778975,-2.6158888427347,0.541678973845619,0.290287226394072,0.21013616564116,NA,NA,NA,NA,NA,NA,NA,NA,-2.01030654127003,1.19852761352279,0,81.6388735254586,85.6298679158313,8,61,187.259735831663,11.2949551535788,0.000564259029566793,NA,0.997859577364908
"36","36","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",0.471339094841317,1.21475783131306,-0.910793872784609,0.757639273009205,-0.32787776845555,0.522569836287929,NA,NA,NA,NA,NA,NA,NA,NA,0.115020345623898,1.30935919964589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46029675272722,0.525046388778975,-2.6158888427347,0.541678973845619,0.290287226394072,0.21013616564116,NA,NA,NA,NA,NA,NA,NA,NA,-2.01030654127003,1.19852761352279,0,81.6388735254586,85.6298679158313,8,61,187.259735831663,11.2949551535788,0.000564259029566793,NA,0.998423836394475
"15","15","~1 ~ Biotic + Tmin ~ 1 ~ Biotic + Tmin",0.482115793575139,0.995330451731619,-1.03656054309255,0.67574429455287,NA,NA,0.0536870548851423,0.559154183257315,NA,NA,NA,NA,NA,NA,0.598017334031292,1.15916096396317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235589429206334,0.533095316543949,-2.3415717674405,0.51206583884583,NA,NA,-0.360199848874543,0.331258061874313,NA,NA,NA,NA,NA,NA,-2.15352588541903,1.16319721265642,0,28.6672197022936,85.8885089723557,8,61,187.777017944711,11.8122372666276,0.000435664460833473,NA,0.998859500855309
"33","33","~1 ~ Biotic + Tmin^2 ~ 1 ~ Biotic + Tmin^2",0.482115793575139,0.995330451731619,-1.03656054309255,0.67574429455287,NA,NA,0.0536870548851423,0.559154183257315,NA,NA,NA,NA,NA,NA,0.598017334031292,1.15916096396317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235589429206334,0.533095316543949,-2.3415717674405,0.51206583884583,NA,NA,-0.360199848874543,0.331258061874313,NA,NA,NA,NA,NA,NA,-2.15352588541903,1.16319721265642,0,28.6672197022936,85.8885089723557,8,61,187.777017944711,11.8122372666276,0.000435664460833473,NA,0.999295165316142
"14","14","~1 ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",1.4024901230035,1.41813035129312,-0.76162863835071,1.04125538592846,NA,NA,0.955934459792409,1.14634487992862,NA,NA,NA,NA,3.01168017643848,2.67038341227023,0.542619357906994,1.44808872081586,NA,NA,1.95071617971454,1.96174855979474,NA,NA,NA,NA,NA,NA,0.474518084272919,0.468977374519752,-2.62745370055183,0.489114595936984,NA,NA,-0.448668197473574,0.329034962798855,NA,NA,NA,NA,NA,NA,-2.02398208255753,1.17947092934584,0,141.980336348793,84.1005652304045,10,61,188.201130460809,12.2363497827253,0.000352417341928886,NA,0.999647582658071
"32","32","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",1.4024901230035,1.41813035129312,-0.76162863835071,1.04125538592846,NA,NA,0.955934459792409,1.14634487992862,NA,NA,NA,NA,3.01168017643848,2.67038341227023,0.542619357906994,1.44808872081586,NA,NA,1.95071617971454,1.96174855979474,NA,NA,NA,NA,NA,NA,0.474518084272919,0.468977374519752,-2.62745370055183,0.489114595936984,NA,NA,-0.448668197473574,0.329034962798855,NA,NA,NA,NA,NA,NA,-2.02398208255753,1.17947092934584,0,141.980336348793,84.1005652304045,10,61,188.201130460809,12.2363497827253,0.000352417341928886,NA,1
