"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax:Biotic)","SEcol(Tmax:Biotic)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(Int)","SEext(Int)","ext(Tmax:Biotic)","SEext(Tmax:Biotic)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(Int)","SEp(Int)","p(Tmax:Biotic)","SEp(Tmax:Biotic)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Elevation)","SEpsi(Elevation)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"65","65","~1 ~ 1 ~ Tmax^2 * Biotic ~ Tmax^2 * Biotic",NA,NA,-0.716957158658213,0.349557223367587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.113533842782695,0.502795753289815,-0.532386724665005,0.477984175848454,-0.265996847590692,0.611906822896002,-0.056421346193163,0.514162027353816,NA,NA,NA,NA,NA,NA,NA,NA,-0.717119107676379,0.295597663686468,-1.05053419512239,0.254977851631404,0.667019511147018,0.300586732923903,0.884902257004922,0.246924158583997,NA,NA,NA,NA,NA,NA,NA,NA,1.90582262924798,0.88396873692228,0,135.316253220472,404.906557191392,10,60,829.813114382784,7.80940144822489,0.00376651322182981,NA,0.97448304309715
"5","5","~1 ~ Tmax ~ Tmax ~ Tmax",NA,NA,-0.823678025502047,0.616392956332987,NA,NA,0.220203569456175,0.712028729195674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.551425487016483,0.509787412032288,NA,NA,0.0908147643484555,0.484168452749243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02953506801188,0.239480377534114,NA,NA,0.822582192408424,0.230700290793088,NA,NA,NA,NA,NA,NA,NA,NA,2.11321188493212,1.0340638721716,0,182.185939001068,408.112251384651,7,60,830.224502769302,8.22078983474285,0.00306625057891891,NA,0.977549293676069
"46","46","~1 ~ Tmax^2 ~ Tmax^2 ~ Tmax^2",NA,NA,-0.823678025502047,0.616392956332987,NA,NA,0.220203569456175,0.712028729195674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.551425487016483,0.509787412032288,NA,NA,0.0908147643484555,0.484168452749243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02953506801188,0.239480377534114,NA,NA,0.822582192408424,0.230700290793088,NA,NA,NA,NA,NA,NA,NA,NA,2.11321188493212,1.0340638721716,0,182.185939001068,408.112251384651,7,60,830.224502769302,8.22078983474285,0.00306625057891891,NA,0.980615544254988
"25","25","~1 ~ Tmax + Biotic ~ 1 ~ Tmax + Biotic",0.160928621621411,0.594946813573587,-0.813495019237983,0.595898924294817,NA,NA,0.226198953949832,0.696852646802817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.471301331671263,0.320362093951265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.155964937634605,0.150921166848032,-0.982763317457806,0.244488597570119,NA,NA,0.775483299798213,0.236696520600138,NA,NA,NA,NA,NA,NA,NA,NA,2.00263077080112,0.95939076855702,0,162.999573091807,407.563388212876,8,60,831.126776425752,9.12306349119285,0.00195290630760866,NA,0.982568450562596
"63","63","~1 ~ Tmax^2 + Biotic ~ 1 ~ Tmax^2 + Biotic",0.160928621621411,0.594946813573587,-0.813495019237983,0.595898924294817,NA,NA,0.226198953949832,0.696852646802817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.471301331671263,0.320362093951265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.155964937634605,0.150921166848032,-0.982763317457806,0.244488597570119,NA,NA,0.775483299798213,0.236696520600138,NA,NA,NA,NA,NA,NA,NA,NA,2.00263077080112,0.95939076855702,0,162.999573091807,407.563388212876,8,60,831.126776425752,9.12306349119285,0.00195290630760866,NA,0.984521356870205
"26","26","~1 ~ 1 ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,-0.67527336721289,0.337609505076227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119987765330355,0.391643761937802,-0.48900085556788,0.470142046344123,NA,NA,0.0262187985152586,0.486195632562222,NA,NA,NA,NA,NA,NA,NA,NA,-0.166550496202332,0.155181739515002,-0.990664223453939,0.245535821015445,NA,NA,0.782147299982116,0.237355867884114,NA,NA,NA,NA,NA,NA,NA,NA,1.96577748986246,0.916177945227101,0,141.293548486207,407.582255670291,8,60,831.164511340583,9.16079840602424,0.00191640535390509,NA,0.98643776222411
"64","64","~1 ~ 1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,-0.67527336721289,0.337609505076227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.119987765330355,0.391643761937802,-0.48900085556788,0.470142046344123,NA,NA,0.0262187985152586,0.486195632562222,NA,NA,NA,NA,NA,NA,NA,NA,-0.166550496202332,0.155181739515002,-0.990664223453939,0.245535821015445,NA,NA,0.782147299982116,0.237355867884114,NA,NA,NA,NA,NA,NA,NA,NA,1.96577748986246,0.916177945227101,0,141.293548486207,407.582255670291,8,60,831.164511340583,9.16079840602424,0.00191640535390509,NA,0.988354167578015
"9","9","~1 ~ Tvar ~ 1 ~ Tvar",NA,NA,-0.692321560668416,0.314890565485629,NA,NA,NA,NA,NA,NA,NA,NA,0.0414988968362835,0.281461016250112,NA,NA,NA,NA,-0.321905776786487,0.283361730368583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.425793323770593,0.124454741606721,NA,NA,NA,NA,NA,NA,NA,NA,0.342314217144208,0.122956814064547,NA,NA,1.66462483013355,0.751041319063828,0,69.6884297052056,410.473521140157,6,60,832.947042280314,10.9433293457548,0.000785987609940318,NA,0.989140155187956
"50","50","~1 ~ Tvar^2 ~ 1 ~ Tvar^2",NA,NA,-0.692321560668416,0.314890565485629,NA,NA,NA,NA,NA,NA,NA,NA,0.0414988968362835,0.281461016250112,NA,NA,NA,NA,-0.321905776786487,0.283361730368583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.425793323770593,0.124454741606721,NA,NA,NA,NA,NA,NA,NA,NA,0.342314217144208,0.122956814064547,NA,NA,1.66462483013355,0.751041319063828,0,69.6884297052056,410.473521140157,6,60,832.947042280314,10.9433293457548,0.000785987609940318,NA,0.989926142797896
"10","10","~1 ~ 1 ~ Tvar ~ Tvar",NA,NA,-0.683319449656243,0.309361037656273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.313998598137106,0.292020185085623,NA,NA,NA,NA,NA,NA,NA,NA,-0.0183310835221446,0.280527241058453,NA,NA,NA,NA,-0.425187054350169,0.124449265493003,NA,NA,NA,NA,NA,NA,NA,NA,0.341897438572572,0.122949046238393,NA,NA,1.65906488074311,0.748354327530613,0,69.1012417478883,410.482220910398,6,60,832.964441820796,10.9607288862377,0.000779179356382808,NA,0.990705322154279
