"","model","formula","col(Biotic)","SEcol(Biotic)","col(Int)","SEcol(Int)","col(Tmax)","SEcol(Tmax)","col(Tmin)","SEcol(Tmin)","col(Tvar:Biotic)","SEcol(Tvar:Biotic)","col(Tvar)","SEcol(Tvar)","ext(Biotic:Tmin)","SEext(Biotic:Tmin)","ext(Biotic)","SEext(Biotic)","ext(ForestLossCT)","SEext(ForestLossCT)","ext(Int)","SEext(Int)","ext(Tmax)","SEext(Tmax)","ext(Tmin)","SEext(Tmin)","ext(Tvar:Biotic)","SEext(Tvar:Biotic)","ext(Tvar)","SEext(Tvar)","p(Biotic:Tmin)","SEp(Biotic:Tmin)","p(Biotic)","SEp(Biotic)","p(ForestLossCT)","SEp(ForestLossCT)","p(Int)","SEp(Int)","p(Tmax)","SEp(Tmax)","p(Tmin)","SEp(Tmin)","p(Tvar:Biotic)","SEp(Tvar:Biotic)","p(Tvar)","SEp(Tvar)","psi(Int)","SEpsi(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"7","7","~1 ~ 1 ~ Tmax ~ Tmax",NA,NA,-0.628309675159935,0.863645471260884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.51454883339552,0.783863045242554,0.508445801174623,0.875135979646639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.777452967239719,0.150514308641997,-0.0260385246096992,0.142520003001716,NA,NA,NA,NA,NA,NA,1.12053237872998,0.988355059812396,0,148.831251016953,290.957746741173,6,61,593.915493482346,8.83353193855771,0.00436662469000247,NA,0.973710009202914
"24","24","~1 ~ 1 ~ Tmax^2 ~ Tmax^2",NA,NA,-0.628309675159935,0.863645471260884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.51454883339552,0.783863045242554,0.508445801174623,0.875135979646639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.777452967239719,0.150514308641997,-0.0260385246096992,0.142520003001716,NA,NA,NA,NA,NA,NA,1.12053237872998,0.988355059812396,0,148.831251016953,290.957746741173,6,61,593.915493482346,8.83353193855771,0.00436662469000247,NA,0.978076633892917
"9","9","~1 ~ Biotic ~ Biotic ~ Biotic",1.67957763018904,2.61011449664581,-1.76091723214569,2.0138517389204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523175794566246,0.528440447220821,NA,NA,-2.93672507075667,0.939604209070881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0922004316452147,0.118192338347084,NA,NA,-0.813266066306706,0.140491091948192,NA,NA,NA,NA,NA,NA,NA,NA,1.40198821794405,0.873911565993312,0,950.838051999386,290.149634842638,7,61,594.299269685275,9.21730814148702,0.00360420863188757,NA,0.981680842524804
"34","34","~1 ~ 1 ~ ForestLossCT ~ ForestLossCT",NA,NA,-0.752089952532493,0.951693086297152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.371215409999604,1.27008544188617,-2.71426960110554,0.989758478064228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0222841714220485,0.151937467401043,-0.793091055969996,0.147402981370299,NA,NA,NA,NA,NA,NA,NA,NA,1.22265894525692,1.02421256554668,0,191.865831700088,291.161486848904,6,61,594.322973697808,9.24101215401959,0.00356174367316266,NA,0.985242586197967
"11","11","~1 ~ Biotic + Tmin ~ Biotic + Tmin ~ Biotic + Tmin",1.98383249476956,1.55531252417947,1.53580249037979,1.66117946089399,NA,NA,-3.68044374756909,2.27217152622995,NA,NA,NA,NA,NA,NA,0.179674067649814,0.530618515903156,NA,NA,-2.93186638457828,1.68969748259587,NA,NA,1.0479806439069,1.63878777633521,NA,NA,NA,NA,NA,NA,0.0394744201966287,0.128424226456959,NA,NA,-0.754621861974184,0.134080925175195,NA,NA,0.123691066225573,0.149978791130605,NA,NA,NA,NA,0.526455178570299,0.586941834960755,0,1088.85458854904,287.197407011199,10,61,594.394814022397,9.31285247860922,0.00343607577964579,NA,0.988678661977613
"26","26","~1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",1.98383249476956,1.55531252417947,1.53580249037979,1.66117946089399,NA,NA,-3.68044374756909,2.27217152622995,NA,NA,NA,NA,NA,NA,0.179674067649814,0.530618515903156,NA,NA,-2.93186638457828,1.68969748259587,NA,NA,1.0479806439069,1.63878777633521,NA,NA,NA,NA,NA,NA,0.0394744201966287,0.128424226456959,NA,NA,-0.754621861974184,0.134080925175195,NA,NA,0.123691066225573,0.149978791130605,NA,NA,NA,NA,0.526455178570299,0.586941834960755,0,1088.85458854904,287.197407011199,10,61,594.394814022397,9.31285247860922,0.00343607577964579,NA,0.992114737757259
"17","17","~1 ~ 1 ~ Tvar * Biotic ~ Tvar * Biotic",NA,NA,-0.593173071279673,0.725812677846975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.574191148555541,0.638187106464571,NA,NA,-3.07224566628323,1.21644395754734,NA,NA,NA,NA,-0.0200270473655688,1.00222020140722,-1.01788531711884,1.43679945134976,NA,NA,0.0991335057879664,0.127095137837916,NA,NA,-0.859095363891193,0.14309473959846,NA,NA,NA,NA,0.167930098917354,0.136300773266929,-0.273663093584192,0.139356502755859,1.0815210450174,0.8519210388715,0,369.373766285171,287.946602672259,10,61,595.893205344517,10.8112438007291,0.00162439330846131,NA,0.99373913106572
"32","32","~1 ~ 1 ~ Tvar^2 * Biotic ~ Tvar^2 * Biotic",NA,NA,-0.593173071279673,0.725812677846975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.574191148555541,0.638187106464571,NA,NA,-3.07224566628323,1.21644395754734,NA,NA,NA,NA,-0.0200270473655688,1.00222020140722,-1.01788531711884,1.43679945134976,NA,NA,0.0991335057879664,0.127095137837916,NA,NA,-0.859095363891193,0.14309473959846,NA,NA,NA,NA,0.167930098917354,0.136300773266929,-0.273663093584192,0.139356502755859,1.0815210450174,0.8519210388715,0,369.373766285171,287.946602672259,10,61,595.893205344517,10.8112438007291,0.00162439330846131,NA,0.995363524374181
"15","15","~1 ~ 1 ~ Tmax + Biotic ~ Tmax + Biotic",NA,NA,-0.599916642695629,0.757802435119282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303753374284526,0.756303129057491,NA,NA,-2.55275166634299,0.795060781572818,0.205639478997111,1.2390410769626,NA,NA,NA,NA,NA,NA,NA,NA,0.162457339916733,0.138252178930145,NA,NA,-0.796705652409884,0.141371759292807,-0.142026053666332,0.167336583865107,NA,NA,NA,NA,NA,NA,1.08415440585799,0.895592667615853,0,269.57254540568,290.248395799654,8,61,596.496791599308,11.4148300555199,0.00120122427999061,NA,0.996564748654172
"30","30","~1 ~ 1 ~ Tmax^2 + Biotic ~ Tmax^2 + Biotic",NA,NA,-0.599916642695629,0.757802435119282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303753374284526,0.756303129057491,NA,NA,-2.55275166634299,0.795060781572818,0.205639478997111,1.2390410769626,NA,NA,NA,NA,NA,NA,NA,NA,0.162457339916733,0.138252178930145,NA,NA,-0.796705652409884,0.141371759292807,-0.142026053666332,0.167336583865107,NA,NA,NA,NA,NA,NA,1.08415440585799,0.895592667615853,0,269.57254540568,290.248395799654,8,61,596.496791599308,11.4148300555199,0.00120122427999061,NA,0.997765972934162
"13","13","~1 ~ 1 ~ Biotic + Tmin ~ Biotic + Tmin",NA,NA,-0.582924967296568,0.738454842153015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174371932430223,0.517629118307026,NA,NA,-2.58555763546876,0.803272991796746,NA,NA,0.637939226106325,0.901973373118859,NA,NA,NA,NA,NA,NA,0.0776586342346785,0.134701084873149,NA,NA,-0.765106993053191,0.140147135768223,NA,NA,0.0281143693658164,0.160067375428825,NA,NA,NA,NA,1.03799132010707,0.873128279256676,0,149.771347442162,290.533897505528,8,61,597.067795011055,11.9858334672672,0.000902884684986799,NA,0.998668857619149
"28","28","~1 ~ 1 ~ Biotic + Tmin^2 ~ Biotic + Tmin^2",NA,NA,-0.582924967296568,0.738454842153015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174371932430223,0.517629118307026,NA,NA,-2.58555763546876,0.803272991796746,NA,NA,0.637939226106325,0.901973373118859,NA,NA,NA,NA,NA,NA,0.0776586342346785,0.134701084873149,NA,NA,-0.765106993053191,0.140147135768223,NA,NA,0.0281143693658164,0.160067375428825,NA,NA,NA,NA,1.03799132010707,0.873128279256676,0,149.771347442162,290.533897505528,8,61,597.067795011055,11.9858334672672,0.000902884684986799,NA,0.999571742304136
"14","14","~1 ~ 1 ~ Biotic * Tmin ~ Biotic * Tmin",NA,NA,-0.507615747668115,0.716425688257362,NA,NA,NA,NA,NA,NA,NA,NA,0.0620303975176723,1.00606132739205,0.135363107998706,0.920340493629608,NA,NA,-2.66615579207366,0.92105977531172,NA,NA,0.676594658097794,0.996401887401817,NA,NA,NA,NA,0.160899469037009,0.154997405711453,0.0268863075409843,0.145344392528133,NA,NA,-0.842428666864795,0.157604445801661,NA,NA,0.0635041084105475,0.167700666602438,NA,NA,NA,NA,0.940415512428181,0.82660636215903,0,250.397661575316,289.972914421695,10,61,599.94582884339,14.8638672996019,0.000214128847931917,NA,0.999785871152068
"29","29","~1 ~ 1 ~ Biotic * Tmin^2 ~ Biotic * Tmin^2",NA,NA,-0.507615747668115,0.716425688257362,NA,NA,NA,NA,NA,NA,NA,NA,0.0620303975176723,1.00606132739205,0.135363107998706,0.920340493629608,NA,NA,-2.66615579207366,0.92105977531172,NA,NA,0.676594658097794,0.996401887401817,NA,NA,NA,NA,0.160899469037009,0.154997405711453,0.0268863075409843,0.145344392528133,NA,NA,-0.842428666864795,0.157604445801661,NA,NA,0.0635041084105475,0.167700666602438,NA,NA,NA,NA,0.940415512428181,0.82660636215903,0,250.397661575316,289.972914421695,10,61,599.94582884339,14.8638672996019,0.000214128847931917,NA,1
